combination,generation,Cmax,percentage
hard_section_roulette,36,1175,-0.03160667251975417
hard_section_roulette,37,1175,-0.03160667251975417
hard_section_roulette,38,1175,-0.03160667251975417
hard_section_roulette,39,1175,-0.03160667251975417
hard_section_roulette,40,1175,-0.03160667251975417
hard_section_roulette,41,1175,-0.03160667251975417
hard_section_roulette,42,1175,-0.03160667251975417
hard_section_roulette,43,1175,-0.03160667251975417
hard_section_roulette,44,1175,-0.03160667251975417
hard_section_roulette,45,1175,-0.03160667251975417
hard_section_roulette,46,1175,-0.03160667251975417
hard_section_roulette,47,1175,-0.03160667251975417
hard_section_roulette,48,1175,-0.03160667251975417
hard_section_roulette,49,1175,-0.03160667251975417
hard_section_roulette,50,1175,-0.03160667251975417
hard_section_roulette,51,1175,-0.03160667251975417
hard_section_roulette,52,1175,-0.03160667251975417
hard_section_roulette,53,1175,-0.03160667251975417
hard_section_roulette,54,1175,-0.03160667251975417
hard_section_roulette,55,1175,-0.03160667251975417
hard_section_roulette,56,1175,-0.03160667251975417
hard_section_roulette,57,1175,-0.03160667251975417
hard_section_roulette,58,1175,-0.03160667251975417
hard_section_roulette,59,1175,-0.03160667251975417
hard_section_roulette,60,1175,-0.03160667251975417
hard_section_roulette,61,1175,-0.03160667251975417
hard_section_roulette,62,1175,-0.03160667251975417
hard_section_roulette,63,1175,-0.03160667251975417
hard_section_roulette,64,1175,-0.03160667251975417
hard_section_roulette,65,1175,-0.03160667251975417
hard_section_roulette,66,1175,-0.03160667251975417
hard_section_roulette,67,1175,-0.03160667251975417
hard_section_roulette,68,1175,-0.03160667251975417
hard_section_roulette,69,1175,-0.03160667251975417
hard_section_roulette,70,1175,-0.03160667251975417
hard_section_roulette,71,1175,-0.03160667251975417
hard_section_roulette,72,1175,-0.03160667251975417
hard_section_roulette,73,1175,-0.03160667251975417
hard_section_roulette,74,1175,-0.03160667251975417
hard_section_roulette,75,1175,-0.03160667251975417
hard_section_roulette,76,1175,-0.03160667251975417
hard_section_roulette,77,1175,-0.03160667251975417
hard_section_roulette,78,1175,-0.03160667251975417
hard_section_roulette,79,1175,-0.03160667251975417
hard_section_roulette,80,1175,-0.03160667251975417
hard_section_roulette,81,1175,-0.03160667251975417
hard_section_roulette,82,1175,-0.03160667251975417
hard_section_roulette,83,1175,-0.03160667251975417
hard_section_roulette,84,1175,-0.03160667251975417
hard_section_roulette,85,1175,-0.03160667251975417
hard_section_roulette,86,1175,-0.03160667251975417
hard_section_roulette,87,1175,-0.03160667251975417
hard_section_roulette,88,1175,-0.03160667251975417
hard_section_roulette,89,1175,-0.03160667251975417
